Asin,joy,fear,anger,sadness,disgust,shame,guilt
B0024CEY2C,27.78,0.0,22.22,0.0,11.11,38.89,0.0
B003ZUY19I,26.67,0.0,10.0,6.67,16.67,36.67,3.33
B00486UF6G,20.83,0.0,8.33,8.33,8.33,37.5,16.67
B003XRDC0W,16.22,0.0,18.92,8.11,10.81,32.43,13.51
B004CJ813I,20.0,0.0,40.0,0.0,20.0,20.0,0.0
B004D9FEUK,20.0,0.0,20.0,10.0,30.0,0.0,20.0
B002Z7ESPO,10.0,0.0,35.0,0.0,25.0,25.0,5.0
B003K16TUG,40.0,0.0,0.0,20.0,20.0,0.0,20.0
B003AOA4IQ,16.67,6.94,26.39,0.0,18.06,27.78,4.17
B0045JLQIM,18.75,0.0,25.0,0.0,31.25,18.75,6.25
B003OYIA74,0.0,8.33,16.67,8.33,8.33,41.67,16.67
B003ZHVGH6,37.5,0.0,37.5,12.5,12.5,0.0,0.0
B002LISF38,20.0,20.0,20.0,0.0,20.0,20.0,0.0
B0044KM2L2,25.49,9.8,23.53,5.88,15.69,17.65,1.96
B004FPYZLQ,17.39,4.35,26.09,4.35,17.39,26.09,4.35
B004GXB3XA,20.0,8.0,20.0,4.0,16.0,32.0,0.0
B004FPYZNY,22.22,3.7,22.22,7.41,7.41,25.93,11.11
B004E3XV8C,11.11,3.7,29.63,3.7,14.81,25.93,11.11
B004BSGMS6,11.11,0.0,55.56,0.0,0.0,33.33,0.0
B003A7I2JG,0.0,14.29,57.14,0.0,0.0,28.57,0.0
B003CJU47U,0.0,7.69,7.69,0.0,30.77,46.15,7.69
B004E9U6PW,20.0,20.0,40.0,0.0,0.0,20.0,0.0
B001V5JCTI,25.53,4.26,21.28,4.26,19.15,19.15,6.38
B002D48NBO,9.09,4.04,22.22,4.04,21.21,27.27,12.12
B0049U4800,30.0,0.0,30.0,10.0,10.0,10.0,10.0
B003YUCEE8,50.0,0.0,16.67,16.67,0.0,16.67,0.0
B003XKNGI2,33.33,0.0,16.67,0.0,33.33,16.67,0.0
B003BIGFSE,5.71,11.43,20.0,0.0,17.14,34.29,11.43
B00292BSVC,14.29,28.57,28.57,14.29,0.0,0.0,14.29
B002IVVADU,16.67,0.0,66.67,0.0,0.0,16.67,0.0
B0036FTZZW,0.0,0.0,33.33,0.0,6.67,53.33,6.67
B004C053N8,20.0,0.0,20.0,0.0,0.0,40.0,20.0
B004E3XTUC,71.43,0.0,0.0,0.0,0.0,28.57,0.0
B005C5YZ86,18.53,3.3,15.74,7.87,10.66,31.22,12.69
B004TXNZOC,5.56,0.0,38.89,5.56,11.11,27.78,11.11
B004X29R8M,18.99,5.06,12.66,6.33,13.92,32.91,10.13
B006DTZ0KC,20.37,7.41,7.41,3.7,7.41,35.19,18.52
B005L34X2C,11.43,5.71,8.57,31.43,2.86,31.43,8.57
B00699917E,24.62,1.54,14.62,5.38,15.38,27.69,10.77
B005ME39HU,24.87,3.05,9.9,7.11,17.01,23.1,14.97
